School_Name,School_Type,Specialisation,Campus_Name,Campus_Type,Campus_Address_Line_1,Campus_Address_Town,Campus_Address_State,Campus_Postcode,School_Phone,School_Website,Managed_Enrolments,Campus_Status,Campus_Year_Levels,primary_2020,year7_2020,year8_2020,year9_2020,year10_2020,year11_2020,year12_2020,DET_Region,type,Zone,Entity_Code,juniorsec_2020,seniorsec_2020,singlesex_2020,specialist_2020
Buxton Primary School,Primary,,Buxton Primary School,Primary,2208 Maroondah Highway,Buxton,VIC,"3711",03 5774 7341,http://www.buxtonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1166901",,,,
Cairnlea Park Primary School,Primary,,Western Special Assistance Unit - Language,Spl Assist,Carmody Drive,Cairnlea,VIC,"3023",03 9363 1187,http://www.cairnleaparkps.vic.edu.au,,O,,,,,,,,,South West,NA,No,"1143402",,,,
Cairnlea Park Primary School,Primary,,Cairnlea Park Primary School,Primary,49 Carmody Drive,Cairnlea,VIC,"3023",03 9363 1187,http://www.cairnleaparkps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1143401",,,,
Caledonian Primary School,Primary,,Caledonian Primary School,Primary,Thompson Street,Brown Hill,VIC,"3350",03 5332 6955,http://www.caledonianps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1538401",,,,
California Gully Primary School,Primary,,California Gully Primary School,Primary,4-14 Staley Street,California Gully,VIC,"3556",03 5446 8393,http://www.californiagullyps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1012301",,,,
Camberwell Primary School,Primary,,Camberwell Primary School,Primary,290 Camberwell Road,Camberwell,VIC,"3124",03 9882 4663,http://www.camberwellps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Non standard,Yes,"1088801",,,,
Camberwell South Primary School,Primary,,Camberwell South Primary School,Primary,Peate Avenue,Glen Iris,VIC,"3146",03 9889 4295,http://www.cambsth.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1417001",,,,
Cambridge Primary School,Primary,,Cambridge Primary School,Primary,Carruthers Drive,Hoppers Crossing,VIC,"3029",03 9748 9011,http://www.cambridgeps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1531201",,,,
Camelot Rise Primary School,Primary,,Camelot Rise Primary School,Primary,Galahad Crescent,Glen Waverley,VIC,"3150",03 9803 5344,http://www.camelotrise.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1511101",,,,
Camp Hill Primary School,Primary,,Camp Hill Primary School,Primary,50 Gaol Rd,Bendigo,VIC,"3550",03 5443 3367,http://www.camphillps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1197601",,,,
Campbellfield Heights Primary School,Primary,,Campbellfield Heights Primary School,Primary,1-13 Laurel Crescent,Campbellfield,VIC,"3061",03 9359 5502,http://www.chps5034.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1503401",,,,
Campbells Creek Primary School,Primary,,Campbells Creek Primary School,Primary,Main Road,Campbells Creek,VIC,"3451",03 5472 2180,http://www.campbellscreekps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1012001",,,,
Canadian Lead Primary School,Primary,,Canadian Lead Primary School,Primary,301 Otway Street South,Ballarat East,VIC,"3350",03 5333 7170,http://www.clps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1538303",,,,
Canterbury Primary School,Primary,,Canterbury Primary School,Primary,Molesworth Street,Canterbury,VIC,"3126",03 9836 4537,http://www.canterburyps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1357201",,,,
Cape Clear Primary School,Primary,,Cape Clear Primary School,Primary,1539 Scarsdale-pitfield Road,Cape Clear,VIC,"3351",03 5342 2252,http://www.capeclearps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1148401",,,,
Cardinia Primary School,Primary,,Cardinia Primary School,Primary,2405 Ballarto Road,Cardinia,VIC,"3978",03 5998 8323,http://www.cardiniaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1368901",,,,
Cardross Primary School,Primary,,Cardross Primary School,Primary,415 Dairtnunk Avenue,Cardross,VIC,"3496",03 5024 1267,http://www.cardrossps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1426301",,,,
Carisbrook Primary School,Primary,,Carisbrook Primary School,Primary,2  Camp Street,Carisbrook,VIC,"3464",03 5464 2444,http://www.carisbrookps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1103001",,,,
Carlisle River Primary School,Primary,,Carlisle River Primary School,Primary,49 Moomowroong Road,Carlisle River,VIC,"3239",03 5235 0261,http://www.carlisleriverps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1349701",,,,
Carlton Gardens Primary School,Primary,,Carlton Gardens Primary School,Primary,215 Rathdowne Street,Carlton,VIC,"3053",03 9663 6502,http://www.carltongardens.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1260501",,,,
Carlton North Primary School,Primary,,Carlton North Primary School,Primary,60 Lee Street,Carlton North,VIC,"3054",03 9347 4822,http://www.carltonnthps.vic.edu.au/Home.html,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1125201",,,,
Carlton Primary School,Primary,,Carlton Primary School,Primary,150 Palmerston Street,Carlton,VIC,"3053",03 9347 6022,http://home.vicnet.net.au/~carlcomm/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1498001",,,,
Carnegie Primary School,Primary,,Carnegie Primary School,Primary,51 Truganini Road,Carnegie,VIC,"3163",03 9571 2662,http://www.carnegieps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1289701",,,,
Carraragarmungee Primary School,Primary,,Carraragarmungee Primary School,Primary,1005 Wangaratta-Eldorado Road,Londrigan,VIC,"3678",03 5725 1531,http://carraps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1170401",,,,
Carrington Primary School,Primary,,Carrington Primary School,Primary,Laura Road,Knoxfield,VIC,"3180",03 9763 9600,http://www.carringtonps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1542601",,,,
Carrum Primary School,Primary,,Carrum Primary School,Primary,Walkers Road,Carrum,VIC,"3197",03 9772 1117,http://www.carrumps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1338501",,,,
Casey Fields (Five Ways) P6  (interim name),Primary,,Casey Fields (Five Ways) P6  (interim name),Primary,50S Eliburn Drive,Cranbourne East,VIC,"3977",#N/A,https://www.schoolbuildings.vic.gov.au/schools/Pages/CaseyFieldsFiveWaysPrimarySchool.aspx,,Opening 2020,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1557001",,,,
Casterton Primary School,Primary,,Casterton Primary School,Primary,14 - 24 Mc Pherson Street,Casterton,VIC,"3311",03 5581 1522,http://www.cas-cps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1205801",,,,
Castlemaine North Primary School,Primary,,Castlemaine North Primary School,Primary,270 Barker Street,Castlemaine,VIC,"3450",03 5472 1391,http://www.castlemainenorthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1205101",,,,
Castlemaine Primary School,Primary,,Castlemaine Primary School,Primary,Cnr Mostyn & Urquhart Street,Castlemaine,VIC,"3450",03 5472 1452,https://www.castlemaineps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1011901",,,,
Caulfield Junior College,Primary,,Caulfield Junior College,Primary,186 Balaclava Road,Caulfield North,VIC,"3161",03 9509 6872,http://www.caulfieldjc.org.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1382001",,,,
Caulfield Primary School,Primary,,Caulfield Primary School,Primary,724 Glen Huntly Road,Caulfield South,VIC,"3162",03 9523 7932,http://www.caulfieldps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1548901",,,,
Caulfield South Primary School,Primary,,Caulfield South Primary School,Primary,24 Bundeera Road,Caulfield South,VIC,"3162",03 9578 3718,http://www.caulfieldsthps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1431501",,,,
Cavendish Primary School,Primary,,Cavendish Primary School,Primary,8-10 Barker Street,Cavendish,VIC,"3314",03 5574 2282,http://www.cavendishps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1011601",,,,
Ceres Primary School,Primary,,Ceres Primary School,Primary,605 Barrabool Road,Ceres,VIC,"3221",03 5249 1382,http://www.ceresps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1160201",,,,
Chalcot Lodge Primary School,Primary,,Chalcot Lodge Primary School,Primary,Primrose Hill Close,Endeavour Hills,VIC,"3802",03 9700 4455,http://www.chalcotps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1523101",,,,
Chandler Park Primary School,Primary,,Cochrane Avenue Campus,Primary,Cochrane Avenue,Keysborough,VIC,"3173",03 9798 2228,http://www.chandlerparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1553301",,,,
Chatham Primary School,Primary,,Chatham Primary School,Primary,Weybridge Street,Surrey Hills,VIC,"3127",03 9830 1933,http://www.chathamps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1431401",,,,
Chelsea Heights Primary School,Primary,,Chelsea Heights Primary School,Primary,194 Thames Promenade,Chelsea Heights,VIC,"3196",03 9772 4139,http://www.chps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1334101",,,,
Chelsea Primary School,Primary,,Chelsea Primary School,Primary,34-44 Argyle Ave,Chelsea,VIC,"3196",03 9773 2055,http://www.chelseaps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1372901",,,,
Cheltenham East Primary School,Primary,,Cheltenham East Primary School,Primary,Silver Street,Cheltenham,VIC,"3192",03 9583 5746,http://www.cheltenhameast.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1475401",,,,
Cheltenham Primary School,Primary,,Cheltenham Primary School,Primary,231 Charman Road,Cheltenham,VIC,"3192",03 8585 3200,http://www.cheltenhamps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1008401",,,,
Chewton Primary School,Primary,,Chewton Primary School,Primary,1 Hunter Street,Chewton,VIC,"3451",03 5472 2557,http://www.chewtonps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1105401",,,,
Chiltern Primary School,Primary,,Chiltern Primary School,Primary,91-101 Albert Road,Chiltern,VIC,"3683",03 5726 1421,http://www.chilternps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1032701",,,,
Chilwell Primary School,Primary,,Chilwell Primary School,Primary,313a Pakington Street,Newtown,VIC,"3220",03 5221 2738,http://www.chilwellps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1206101",,,,
Chirnside Park Primary School,Primary,,Chirnside Park Primary School,Primary,66 Kimberley Drive,Chirnside Park,VIC,"3116",03 9727 3466,http://www.chirnsideparkps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1519401",,,,
Christmas Hills Primary School,Primary,,Christmas Hills Primary School,Primary,1409 Eltham-yarra Glen Road,Christmas Hills,VIC,"3775",03 9730 1238,http://www.christmashillsps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1136201",,,,
Chum Creek Primary School,Primary,,Chum Creek Primary School,Primary,705 Chum Creek Road,Chum Creek,VIC,"3777",03 5962 5391,http://www.chumcreek.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1327901",,,,
Churchill North Primary School,Primary,,Churchill North Primary School,Primary,Blackwood Crescent,Churchill,VIC,"3842",03 5122 1976,http://www.churchillnth.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1511701",,,,
Churchill Primary School,Primary,,Churchill Primary School,Primary,Coleman Parade,Churchill,VIC,"3842",03 5122 1343,http://www.churchillps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1497001",,,,
Clarinda Primary School,Primary,,Clarinda Primary School,Primary,1166 Centre Road,Clarinda,VIC,"3169",03 9544 3231,http://www.clarindaps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1333601",,,,
Clayton North Primary School,Primary,,Clayton North Primary School,Primary,1714 Dandenong Road,Clayton,VIC,"3168",03 9544 1522,http://claytonnorthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1073401",,,,
Clayton South Primary School,Primary,,Clayton South Primary School,Primary,539 Clayton Road,Clayton South,VIC,"3169",03 9558 0599,http://www.claytonsouthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1438401",,,,
Clifton Creek Primary School,Primary,,Clifton Creek Primary School,Primary,1020 Deptford Road,Clifton Creek,VIC,"3875",03 5157 9251,http://www.cliftoncreekps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1368401",,,,
Clifton Hill Primary School,Primary,,Clifton Hill Primary School,Primary,185 Gold St,Clifton Hill,VIC,"3068",03 9489 8333,http://www.cliftonhillps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1136001",,,,
Clifton Springs Primary School,Primary,,Clifton Springs Primary School,Primary,82-118 Jetty Road,Clifton Springs,VIC,"3222",03 5251 3581,http://www.cliftonspringsps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1528001",,,,
Clunes Primary School,Primary,,Clunes Primary School,Primary,Canterbury Street,Clunes,VIC,"3370",03 5345 3182,http://www.clunesps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1155201",,,,
Clyde North East P6  (interim name),Primary,,Clyde North East P6  (interim name),Primary,25 Ferdinand Drive,Clyde North,VIC,"3978",#N/A,https://www.schoolbuildings.vic.gov.au/schools/Pages/ClydeNorthSecondarySchool.aspx,,Opening 2020,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1538501",,,,
Clyde Primary School,Primary,,Clyde Primary School,Primary,13 Oroya Grove,Clyde,VIC,"3978",03 5998 5293,https://clydeps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1366401",,,,
Coatesville Primary School,Primary,,Coatesville Primary School,Primary,21 Mackie Road,Bentleigh East,VIC,"3165",03 9570 1652,http://www.coatesps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1471201",,,,
Cobains Primary School,Primary,,Cobains Primary School,Primary,3 Crofts Road,Cobains,VIC,"3851",03 5149 8274,http://www.cobains.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1438701",,,,
Cobden Primary School,Primary,,Cobden Primary School,Primary,Silvester Street,Cobden,VIC,"3266",03 5595 1087,http://www.cobdenps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1086401",,,,
Cobram Primary School,Primary,,Cobram Primary School,Primary,90-100 WILLIAM STREET,Cobram,VIC,"3644",03 5872 1374,http://cobramps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1620901",,,,
Coburg North Primary School,Primary,,Coburg North Primary School,Primary,180 O'Hea Street,Coburg,VIC,"3058",03 9354 1660,http://coburg-north-ps.vic.edu,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1454301",,,,
Coburg Primary School,Primary,,Coburg Primary School,Primary,92 Bell Street,Coburg,VIC,"3058",03 9354 9332,http://www.coburgps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1048401",,,,
Coburg West Primary School,Primary,,Coburg West Primary School,Primary,185-187 Reynard Street,Coburg,VIC,"3058",03 9386 1286,http://www.cobw.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1394101",,,,
Coburn Primary School,Primary,,Coburn Primary School,Primary,26 - 44 Richard Road,Melton South,VIC,"3338",03 9971 2900,http://www.coburnps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1509001",,,,
Cockatoo Primary School,Primary,,Cockatoo Primary School,Primary,19-33 Belgrave-Gembrook Road,Cockatoo,VIC,"3781",03 5968 8017,http://www.cockatoops.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1353501",,,,
Cohuna Consolidated School,Primary,,Cohuna Consolidated School,Primary,Mead St,Cohuna,VIC,"3568",03 5456 2361,http://www.cohunacs.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1621101",,,,
Coimadai Primary School,Primary,,Coimadai Primary School,Primary,86 Bennetts Lane,Coimadai,VIC,"3340",03 5367 2907,http://www.coimadaips.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1071601",,,,
Colac Primary School,Primary,,Colac Primary School,Primary,53-65 Murray Street East,Colac,VIC,"3250",03 5231 2560,http://www.colacps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1011701",,,,
Colac South West Primary School,Primary,,Colac South West Primary School,Primary,238 Wilson Street,Colac,VIC,"3250",03 5232 1170,http://colac-sw-ps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1477501",,,,
Colac West Primary School,Primary,,Colac West Primary School,Primary,12 Ligar Street,Colac,VIC,"3250",03 5231 2479,http://www.colacwest.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1406401",,,,
Colbinabbin Primary School,Primary,,Colbinabbin Primary School,Primary,56 Mitchell Street,Colbinabbin,VIC,"3559",03 5432 9330,http://colprim.vic.edu.au/web/,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1393601",,,,
Coldstream Primary School,Primary,,Coldstream Primary School,Primary,Kelso Street,Coldstream,VIC,"3770",03 9739 1680,http://www.coldstreamps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1512701",,,,
Coleraine Primary School,Primary,,Coleraine Primary School,Primary,124 Church Street,Coleraine,VIC,"3315",03 5575 2057,http://www.coleraineps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1211801",,,,
Concongella Primary School,Primary,,Concongella Primary School,Primary,61 Concongella School Road,CONCONGELLA,VIC,"3384",03 5358 1811,http://www.concongellaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1113601",,,,
Congupna Primary School,Primary,,Congupna Primary School,Primary,3580 Katamatite Road,Congupna,VIC,"3633",03 5829 9286,http://www.congupnaps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1256301",,,,
Coolaroo South Primary School,Primary,,Coolaroo South Primary School,Primary,52-72 Bushfield Crescent,Coolaroo,VIC,"3048",03 9309 1664,http://www.coolaroosouthps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1555401",,,,
Coral Park Primary School,Primary,,Coral Park Primary School,Primary,145 Coral Drive,Hampton Park,VIC,"3976",03 9702 8398,http://www.coralparkps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1529201",,,,
Courtenay Gardens Primary School,Primary,,Courtenay Gardens Primary School,Primary,35 Rosebank Drive,Cranbourne North,VIC,"3977",03 5995 7139,http://www.cgps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1537101",,,,
Cowes Primary School,Primary,,Cowes Primary School,Primary,177 Settlement Road,Cowes,VIC,"3922",03 5952 2132,http://www.cowespsphillipis.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1128201",,,,
Cowwarr Primary School,Primary,,Cowwarr Primary School,Primary,Church Street,Cowwarr,VIC,"3857",03 5148 9271,http://www.cowwarrps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1196701",,,,
Craigieburn Primary School,Primary,,Craigieburn Primary School,Primary,87 - 91 Grand Boulevard,Craigieburn,VIC,"3064",03 9308 1228,http://www.craigieburnps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1477001",,,,
Craigieburn South Primary School,Primary,,Craigieburn South Primary School,Primary,102 Hothlyn Drive,Craigieburn,VIC,"3064",03 9308 3133,http://www.craigsth.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1524301",,,,
Cranbourne Carlisle Primary School,Primary,,Cranbourne Carlisle Primary School,Primary,15 Silky Oak Drive,Cranbourne,VIC,"3977",03 5991 3600,http://www.cranbournecarlisleps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1551001",,,,
Cranbourne East Primary School,Primary,,Cranbourne East Primary School,Primary,2 Bowyer Avenue,Cranbourne East,VIC,"3977",03 5990 0400,https://www.cranbourneeastps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1551801",,,,
Cranbourne Park Primary School,Primary,,Cranbourne Park Primary School,Primary,1 Tucker Street,Cranbourne,VIC,"3977",03 5996 1142,http://www.cranbournepark.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1488701",,,,
Cranbourne Primary School,Primary,,Cranbourne Primary School,Primary,Bakewell Street,Cranbourne,VIC,"3977",03 5996 1744,http://www.cranbourne-ps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1206801",,,,
Cranbourne South Primary School,Primary,,Cranbourne South Primary School,Primary,Pearcedale Road,Cranbourne South,VIC,"3977",03 9782 2999,https://cranbournesouth.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1475501",,,,
Cranbourne West Primary School,Primary,,Cranbourne West Primary School,Primary,110 Duff Street,Cranbourne,VIC,"3977",03 5996 2878,http://www.cranbournewestps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1518901",,,,
Creswick North Primary School,Primary,,Creswick North Primary School,Primary,93 Macs Street,Creswick,VIC,"3363",03 5345 2012,http://www.creswicknorthps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1204101",,,,
Creswick Primary School,Primary,,Creswick Primary School,Primary,67 Napier Street,Creswick,VIC,"3363",03 5345 2044,http://www.creswickps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1012201",,,,
Crib Point Primary School,Primary,,Crib Point Primary School,Primary,70 Milne Street,Crib Point,VIC,"3919",03 5983 9282,http://www.cpps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1308001",,,,
Croydon Hills Primary School,Primary,,Croydon Hills Primary School,Primary,Campaspe Drive,Croydon Hills,VIC,"3136",03 9725 1206,http://www.croydonhps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1525501",,,,
Croydon Primary School,Primary,,Croydon Primary School,Primary,Cnr Kent Avenue & Croydon Road,Croydon,VIC,"3136",03 9723 2472,http://www.croydonps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Straight line,Yes,"1290001",,,,
Cudgee Primary School,Primary,,Cudgee Primary School,Primary,3 Hallowells Road,Cudgee,VIC,"3265",03 5567 6346,http://www.cudgeeps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1010501",,,,
Currawa Primary School,Primary,,Currawa Primary School,Primary,2 Ridge Road,Dookie Campus,VIC,"3647",03 5828 6581,http://www.currawaps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1390701",,,,
Dallas Brooks Community Primary School,Primary,,Dallas Brooks Community Primary School,Primary,26-36 King Street,Dallas,VIC,"3047",03 9309 1181,http://www.dallasps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,North West,Straight line,Yes,"1554601",,,,
Dandenong North Primary School,Primary,,Dandenong North Primary School,Primary,117-125 Cleeland Street,Dandenong,VIC,"3175",03 9794 7899,http://www.dandenongnorthps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1472301",,,,
Dandenong Primary School,Primary,,Dandenong Primary School,Primary,174-182 Foster Street,Dandenong,VIC,"3175",03 9792 2743,http://www.dandenongps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1140301",,,,
Dandenong South Primary School,Primary,,Dandenong South Primary School,Primary,52 Kirkham Road,Dandenong,VIC,"3175",03 9792 3726,http://www.dandenong-south-ps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1481001",,,,
Dandenong West Primary School,Primary,,Dandenong West Primary School,Primary,32 Birdwood Avenue,Dandenong,VIC,"3175",03 9792 2868,http://www.dandywestps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South East,Straight line,Yes,"1421701",,,,
Darley Primary School,Primary,,Darley Primary School,Primary,21 Nelson Street,Darley,VIC,"3340",03 5367 1558,http://www.darleyprimary.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1520001",,,,
Darnum Primary School,Primary,,Darnum Primary School,Primary,6 Graham Street,Darnum,VIC,"3822",03 5627 8273,http://www.darnumps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South East,Shortest path,Yes,"1231901",,,,
Darraweit Guim Primary School,Primary,,Darraweit Guim Primary School,Primary,2 Darraweit Valley Road,Darraweit Guim,VIC,"3756",03 5789 1234,http://www.darraweitguimps.vic.edu.au,,Open,Prep to 6,x,,,,,,,North West,Shortest path,Yes,"1087801",,,,
Dartmoor Primary School,Primary,,Dartmoor Primary School,Primary,76 Greenham Street,Dartmoor,VIC,"3304",03 5528 1382,http://www.dartmoorps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1103501",,,,
Davis Creek Primary School  (interim name),Primary,,Davis Creek Primary School  (interim name),Primary,65 Wooten Road,Tarneit,VIC,"3029",#N/A,https://www.schoolbuildings.vic.gov.au/schools/Pages/DavisCreekPrimarySchool.aspx,,Opening 2020,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1550501",,,,
Daylesford Primary School,Primary,,Daylesford Primary School,Primary,102-128 Vincent Street,Daylesford,VIC,"3460",03 5348 2480,http://www.daylesps.vic.edu.au,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1160901",,,,
Deans Marsh Primary School,Primary,,Deans Marsh Primary School,Primary,30 Deans Marsh-Lorne Road,Deans Marsh,VIC,"3235",03 5236 3264,http://www.deansmarshps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Shortest path,Yes,"1164201",,,,
Debney Meadows Primary School,Primary,,Debney Meadows Primary School,Primary,100 Victoria Street,Flemington,VIC,"3031",03 9376 1570,http://www.debneymeadowsps.vic.edu.au/,,Open,Prep to 6,x,,,,,,,South West,Straight line,Yes,"1506801",,,,
Dederang Primary School,Primary,,Dederang Primary School,Primary,4364 Kiewa Valley Highway,Dederang,VIC,"3691",02 6028 9331,http://www.dederang.vic.edu.au,,Open,Prep to 6,x,,,,,,,North East,Shortest path,Yes,"1177201",,,,
